PID,smiles,value
1,[*]/C(=C(/[*])c1ccc(CCCC)cc1)c1ccccc1,-6.026872146
2,[*]/C(=C(/[*])c1ccc(S(=O)(=O)O)cc1)c1ccc(CCCC)cc1,-7.468521083
3,[*]/C(=C(/[*])c1ccc(S(=O)(=O)O)cc1)c1ccc([Si](C)(C)C)cc1,-8.677780705
4,[*]/C(=C(/[*])c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,-6.886056648
5,[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,-6.48148606
6,[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccccc1,-6.332547047
7,[*]/C(=C(/[*])c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccccc1,-8.103473783
8,[*]/C(=C(/[*])c1ccc2c(c1)-c1cc([Si](C)(C)C)ccc1C2(C)C)c1ccccc1,-5.619788758
9,[*]/C(=C(/[*])c1ccc2c(c1)-c1ccccc1C2(C)C)c1ccccc1,-6.468521083
10,[*]/C(=C(/[*])c1ccc2c(c1)-c1ccccc1C21CC1)c1ccc([Si](C)(C)C)cc1,-6.721246399
11,[*]/C(=C(/[*])c1ccc2c(c1)-c1ccccc1C21CC1)c1ccccc1,-6.392544977
12,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)C(C)(C)C2(C)C)c1ccccc1,-5.454692884
13,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,-5.442492798
14,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,-5.484126156
15,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,-5.772113295
16,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,-5.453457337
17,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,-5.354577731
18,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,-5.327902142
19,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc([Si](C)(C)C)cc1,-6.698970004
20,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,-5.424812155
21,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,-5.943095149
22,[*]/C(=C(/[*])c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,-7.408935393
23,[*]/C(=C(/[*])c1ccc2c(c1)Cc1ccccc1-2)c1ccc([Si](C)(C)C)cc1,-6.190440285
24,[*]/C(=C(/[*])c1ccc2c(c1)Cc1ccccc1-2)c1ccccc1,-6.070581074
25,[*]/C(=C(/[*])c1ccc2c(ccc3ccccc32)c1)c1ccc([Si](C)(C)C)cc1,-6.677780705
26,[*]/C(=C(/[*])c1ccc2c(ccc3ccccc32)c1)c1ccccc1,-6.27572413
27,[*]/C(=C(/[*])c1cccc(-c2ccc(C(C)(C)C)cc2)c1)c1ccccc1,-6.913640169
28,[*]/C(=C(/[*])c1cccc(-c2ccccc2)c1)c1ccccc1,-6.886056648
29,[*]/C(=C(/[*])c1cccc([Si](C)(C)C)c1)c1ccccc1,-6.548213564
30,[*]/C(=C(/[*])c1ccccc1F)c1ccc2c(c1)C(C)(C)CC2(C)C,-5.453457337
31,[*]/C(C)=C(/[*])CC(C)C,-7.045757491
32,[*]/C(C)=C(/[*])CCC(C)C,-7.408935393
33,[*]/C(C)=C(/[*])[Si](C)(C)C(C)C,-6.657577319
34,[*]/C(C)=C(/[*])[Si](C)(C)CC,-6.337242168
35,[*]/C(C)=C(/[*])[Si](C)(C)CCC,-7.638272164
36,[*]/C(C)=C(/[*])[Si](C)(C)CCCC,-8
37,[*]/C(C)=C(/[*])[Si](C)(C)CCCCC,-8
38,[*]/C(C)=C(/[*])[Si](C)(C)c1ccccc1,-8.424812155
39,[*]/C(C)=C(/[*])c1ccccc1,-7.844663963
40,[*]/C(CC)=C(/[*])c1ccccc1,-8.397940009
41,[*]/C(CCCCCC)=C(/[*])c1ccccc1,-8.318758763
42,[*]/C(Cl)=C(/[*])CCCC,-8.397940009
43,[*]/C(Cl)=C(/[*])CCCCCC,-7.886056648
44,[*]/C(Cl)=C(/[*])c1ccccc1,-8.638272164
45,[*]/C=C(/[*])C(C)(C)C,-7.251811973
46,[*]/C=C(/[*])c1ccc(-c2ccc([Si](C)(C)C)cc2)cc1,-6.657577319
47,[*]/C=C(/[*])c1ccc(C[Si](C)(C)C)cc1,-7.193820026
48,[*]/C=C(/[*])c1ccc(O[Si](C)(C)C(C)(C)C)cc1,-8.236572006
49,[*]/C=C(/[*])c1ccccc1,-8.052566278
50,[*]/C=C(/[*])c1ccccc1C,-8.823908741
51,[*]/C=C(/[*])c1ccccc1C(F)(F)F,-7.886056648
52,[*]=CC1CCC(C=[*])C1,-8.812479279
53,[*]=CCCC(=[*])Cl,-8.588380294
