PID,smiles,value
1,[*]/C(=C(/[*])c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,-7.619788758
2,[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,-7.13667714
3,[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccccc1,-6.823908741
4,[*]/C(=C(/[*])c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccccc1,-9.253365801
5,[*]/C(=C(/[*])c1ccc2c(c1)-c1cc([Si](C)(C)C)ccc1C2(C)C)c1ccccc1,-5.721246399
6,[*]/C(=C(/[*])c1ccc2c(c1)-c1ccccc1C2(C)C)c1ccccc1,-7.026872146
7,[*]/C(=C(/[*])c1ccc2c(c1)-c1ccccc1C21CC1)c1ccc([Si](C)(C)C)cc1,-7.301029996
8,[*]/C(=C(/[*])c1ccc2c(c1)-c1ccccc1C21CC1)c1ccccc1,-6.806875402
9,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)C(C)(C)C2(C)C)c1ccccc1,-5.616184634
10,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,-5.536107011
11,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,-5.649751982
12,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,-5.995678626
13,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,-5.643974143
14,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,-5.455931956
15,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,-5.46470588
16,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc([Si](C)(C)C)cc1,-7.327902142
17,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,-5.565431096
18,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,-6.180456064
19,[*]/C(=C(/[*])c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,-8.22184875
20,[*]/C(=C(/[*])c1ccc2c(c1)Cc1ccccc1-2)c1ccc([Si](C)(C)C)cc1,-6.698970004
21,[*]/C(=C(/[*])c1ccc2c(c1)Cc1ccccc1-2)c1ccccc1,-6.619788758
22,[*]/C(=C(/[*])c1ccc2c(ccc3ccccc32)c1)c1ccc([Si](C)(C)C)cc1,-7.301029996
23,[*]/C(=C(/[*])c1ccc2c(ccc3ccccc32)c1)c1ccccc1,-6.838631998
24,[*]/C(=C(/[*])c1cccc(-c2ccc(C(C)(C)C)cc2)c1)c1ccccc1,-7.721246399
25,[*]/C(=C(/[*])c1cccc(-c2ccccc2)c1)c1ccccc1,-7.769551079
26,[*]/C(=C(/[*])c1cccc([Si](C)(C)C)c1)c1ccccc1,-7.070581074
27,[*]/C(=C(/[*])c1ccccc1F)c1ccc2c(c1)C(C)(C)CC2(C)C,-5.555955204
28,[*]/C(C)=C(/[*])CC(C)C,-7.721246399
29,[*]/C(C)=C(/[*])CCC(C)C,-7.950781977
30,[*]/C(C)=C(/[*])[Si](C)(C)C(C)C,-7.443697499
31,[*]/C(C)=C(/[*])[Si](C)(C)CC,-6.920818754
32,[*]/C(C)=C(/[*])[Si](C)(C)CCC,-8.356547324
33,[*]/C(C)=C(/[*])[Si](C)(C)CCCC,-8.769551079
34,[*]/C(C)=C(/[*])[Si](C)(C)CCCCC,-8.886056648
35,[*]/C(C)=C(/[*])[Si](C)(C)c1ccccc1,-9.769551079
36,[*]/C(C)=C(/[*])c1ccccc1,-9.552841969
37,[*]/C(CC)=C(/[*])c1ccccc1,-9.356547324
38,[*]/C(CCCCCC)=C(/[*])c1ccccc1,-8.853871964
39,[*]/C(Cl)=C(/[*])CCCC,-9.356547324
40,[*]/C(Cl)=C(/[*])CCCCCC,-8.48148606
41,[*]/C(Cl)=C(/[*])c1ccccc1,-9.886056648
42,[*]/C=C(/[*])C(C)(C)C,-8.070581074
43,[*]/C=C(/[*])c1ccc(-c2ccc([Si](C)(C)C)cc2)cc1,-7.346787486
44,[*]/C=C(/[*])c1ccc(C[Si](C)(C)C)cc1,-7.920818754
45,[*]/C=C(/[*])c1ccc(O[Si](C)(C)C(C)(C)C)cc1,-8.920818754
46,[*]/C=C(/[*])c1ccccc1,-9.283996656
47,[*]/C=C(/[*])c1ccccc1C,-9.522878745
48,[*]/C=C(/[*])c1ccccc1C(F)(F)F,-9.180456064
49,[*]=CC1CCC(C=[*])C1,-9.602059991
50,[*]=NP(=NP(=[*])(Cl)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1)(Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,-9.301029996
51,[*]=NP(=NP(=[*])(OCC(C)(C)C)Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,-9.045757491
52,[*]=NP(=NP(=[*])(Oc1ccc(OC)cc1)Oc1ccccc1CC=C)(OCCCOCCOC)Oc1ccc(OC)cc1,-8.958607315
53,[*]=NP(=NP(=[*])(Oc1ccccc1)Oc1ccc([Si](C)(C)C)cc1)(Oc1ccc(Br)cc1)Oc1ccc([Si](C)(C)C)cc1,-8.632644079
54,[*]=NP(=NP(=[*])(Oc1ccccc1)Oc1ccc([Si](C)(C)c2ccccc2)cc1)(Oc1ccc(Br)cc1)Oc1ccc([Si](C)(C)c2ccccc2)cc1,-9.236572006
55,[*]=NP(=NP(=[*])(Oc1ccccc1)Oc1ccc([Si](C)(c2ccccc2)c2ccccc2)cc1)(Oc1ccc(Br)cc1)Oc1ccc([Si](C)(c2ccccc2)c2ccccc2)cc1,-10.36653154
56,[*]C(=C([*])c1ccc(C(C)(C)C)cc1)c1ccc(O)cc1,-8.337242168
57,[*]C(=C([*])c1ccc(C(C)(C)C)cc1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,-7.26760624
58,[*]C(=C([*])c1ccc([Si](C)(C)C)cc1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,-6.958607315
59,[*]C(=C([*])c1ccc2c(c1)C(C)(C)c1cc(Br)ccc1-2)c1ccccc1,-6.522878745
60,[*]C(=C([*])c1ccc2c(c1)C(C)(C)c1cc([Si](C)(C)C)ccc1-2)c1ccccc1,-6
61,[*]C(=C([*])c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1cc(F)cc(F)c1,-6.37675071
62,[*]C(=C([*])c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(Br)cc1,-6.031517051
63,[*]C(=C([*])c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(C(C)(C)C)cc1,-6.180456064
