PID,smiles,value
1,[*]/C(=C(/[*])c1ccc(CCCC)cc1)c1ccccc1,-6.823908741
2,[*]/C(=C(/[*])c1ccc(S(=O)(=O)O)cc1)c1ccc(CCCC)cc1,-8.958607315
3,[*]/C(=C(/[*])c1ccc(S(=O)(=O)O)cc1)c1ccc([Si](C)(C)C)cc1,-10.55284197
4,[*]/C(=C(/[*])c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,-8.040958608
5,[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,-7.602059991
6,[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccccc1,-7.271646218
7,[*]/C(=C(/[*])c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccccc1,-9.555955204
8,[*]/C(=C(/[*])c1ccc2c(c1)-c1cc([Si](C)(C)C)ccc1C2(C)C)c1ccccc1,-6.091514981
9,[*]/C(=C(/[*])c1ccc2c(c1)-c1ccccc1C2(C)C)c1ccccc1,-7.37675071
10,[*]/C(=C(/[*])c1ccc2c(c1)-c1ccccc1C21CC1)c1ccc([Si](C)(C)C)cc1,-7.721246399
11,[*]/C(=C(/[*])c1ccc2c(c1)-c1ccccc1C21CC1)c1ccccc1,-7.232844134
12,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)C(C)(C)C2(C)C)c1ccccc1,-6
13,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,-5.882728704
14,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,-6.036212173
15,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,-6.387216143
16,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,-6.036212173
17,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,-5.779891912
18,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,-5.806875402
19,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc([Si](C)(C)C)cc1,-7.769551079
20,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,-5.958607315
21,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,-6.568636236
22,[*]/C(=C(/[*])c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,-8.522878745
23,[*]/C(=C(/[*])c1ccc2c(c1)Cc1ccccc1-2)c1ccc([Si](C)(C)C)cc1,-7.022276395
24,[*]/C(=C(/[*])c1ccc2c(c1)Cc1ccccc1-2)c1ccccc1,-6.886056648
25,[*]/C(=C(/[*])c1ccc2c(ccc3ccccc32)c1)c1ccc([Si](C)(C)C)cc1,-7.721246399
26,[*]/C(=C(/[*])c1ccc2c(ccc3ccccc32)c1)c1ccccc1,-7.187086643
27,[*]/C(=C(/[*])c1cccc(-c2ccc(C(C)(C)C)cc2)c1)c1ccccc1,-8.151810883
28,[*]/C(=C(/[*])c1cccc(-c2ccccc2)c1)c1ccccc1,-8.187086643
29,[*]/C(=C(/[*])c1cccc([Si](C)(C)C)c1)c1ccccc1,-7.449771647
30,[*]/C(=C(/[*])c1ccccc1F)c1ccc2c(c1)C(C)(C)CC2(C)C,-5.920818754
31,[*]/C(C)=C(/[*])CC(C)C,-8.031517051
32,[*]/C(C)=C(/[*])CCC(C)C,-8.292429824
33,[*]/C(C)=C(/[*])[Si](C)(C)C(C)C,-7.769551079
34,[*]/C(C)=C(/[*])[Si](C)(C)CC,-7.30980392
35,[*]/C(C)=C(/[*])[Si](C)(C)CCC,-8.677780705
36,[*]/C(C)=C(/[*])[Si](C)(C)CCCC,-9.096910013
37,[*]/C(C)=C(/[*])[Si](C)(C)CCCCC,-8.721246399
38,[*]/C(C)=C(/[*])[Si](C)(C)c1ccccc1,-9.920818754
39,[*]/C(C)=C(/[*])c1ccccc1,-8.935542011
40,[*]/C(CC)=C(/[*])c1ccccc1,-9.346787486
41,[*]/C(CCCCCC)=C(/[*])c1ccccc1,-9.259637311
42,[*]/C(Cl)=C(/[*])CCCC,-9.346787486
43,[*]/C(Cl)=C(/[*])CCCCCC,-8.958607315
44,[*]/C(Cl)=C(/[*])c1ccccc1,-10
45,[*]/C=C(/[*])C(C)(C)C,-8.366531544
46,[*]/C=C(/[*])c1ccc(-c2ccc([Si](C)(C)C)cc2)cc1,-7.795880017
47,[*]/C=C(/[*])c1ccc(C[Si](C)(C)C)cc1,-8.356547324
48,[*]/C=C(/[*])c1ccc(O[Si](C)(C)C(C)(C)C)cc1,-9.119186408
49,[*]/C=C(/[*])c1ccccc1,-9.455931956
50,[*]/C=C(/[*])c1ccccc1C,-9.522878745
51,[*]/C=C(/[*])c1ccccc1C(F)(F)F,-9.13667714
52,[*]=CC1CCC(C=[*])C1,-9.823908741
53,[*]=CCCC=[*],-8.600326279
54,[*]=NP(=NP(=[*])(Cl)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1)(Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,-9.522878745
55,[*]=NP(=NP(=[*])(OCC(C)(C)C)Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,-9.468521083
56,[*]=NP(=NP(=[*])(Oc1ccc(OC)cc1)Oc1ccccc1CC=C)(OCCCOCCOC)Oc1ccc(OC)cc1,-9.397940009
57,[*]=NP(=NP(=[*])(Oc1ccccc1)Oc1ccc([Si](C)(C)C)cc1)(Oc1ccc(Br)cc1)Oc1ccc([Si](C)(C)C)cc1,-9.026872146
58,[*]=NP(=NP(=[*])(Oc1ccccc1)Oc1ccc([Si](C)(C)c2ccccc2)cc1)(Oc1ccc(Br)cc1)Oc1ccc([Si](C)(C)c2ccccc2)cc1,-9.657577319
59,[*]=NP(=NP(=[*])(Oc1ccccc1)Oc1ccc([Si](C)(c2ccccc2)c2ccccc2)cc1)(Oc1ccc(Br)cc1)Oc1ccc([Si](C)(c2ccccc2)c2ccccc2)cc1,-10.50863831
60,[*]C(=C([*])c1ccc(C(C)(C)C)cc1)c1ccc(O)cc1,-8.638272164
61,[*]C(=C([*])c1ccc(C(C)(C)C)cc1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,-7.677780705
62,[*]C(=C([*])c1ccc(C(C)(C)C)cc1)c1ccccc1,-7.443697499
63,[*]C(=C([*])c1ccc(C(C)C)cc1)c1ccccc1,-7.823908741
64,[*]C(=C([*])c1ccc(CCCC)cc1)c1ccccc1,-8.958607315
65,[*]C(=C([*])c1ccc([Si](C)(C)C)cc1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,-7.408935393
66,[*]C(=C([*])c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(C(C)(C)C)cc1,-9.124938737
67,[*]C(=C([*])c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(C(C)C)cc1,-9.040958608
68,[*]C(=C([*])c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(CCCC)cc1,-9.102372909
69,[*]C(=C([*])c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccccc1,-8.958607315
