PID,smiles,value
1,[*]/C(=C(/[*])c1ccc(CCCC)cc1)c1ccccc1,-6.585026652
2,[*]/C(=C(/[*])c1ccc(S(=O)(=O)O)cc1)c1ccc(CCCC)cc1,-8.346787486
3,[*]/C(=C(/[*])c1ccc(S(=O)(=O)O)cc1)c1ccc([Si](C)(C)C)cc1,-9.602059991
4,[*]/C(=C(/[*])c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,-7.638272164
5,[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,-7.207608311
6,[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccccc1,-6.93930216
7,[*]/C(=C(/[*])c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccccc1,-8.91721463
8,[*]/C(=C(/[*])c1ccc2c(c1)-c1cc([Si](C)(C)C)ccc1C2(C)C)c1ccccc1,-6.008773924
9,[*]/C(=C(/[*])c1ccc2c(c1)-c1ccccc1C2(C)C)c1ccccc1,-7.080921908
10,[*]/C(=C(/[*])c1ccc2c(c1)-c1ccccc1C21CC1)c1ccc([Si](C)(C)C)cc1,-7.356547324
11,[*]/C(=C(/[*])c1ccc2c(c1)-c1ccccc1C21CC1)c1ccccc1,-7.008773924
12,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)C(C)(C)C2(C)C)c1ccccc1,-5.903089987
13,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,-5.818156412
14,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,-5.943095149
15,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,-6.244125144
16,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,-5.931814138
17,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,-5.728158393
18,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,-5.747146969
19,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc([Si](C)(C)C)cc1,-7.346787486
20,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,-5.863279433
21,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,-6.408935393
22,[*]/C(=C(/[*])c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,-8.065501549
23,[*]/C(=C(/[*])c1ccc2c(c1)Cc1ccccc1-2)c1ccc([Si](C)(C)C)cc1,-6.782516056
24,[*]/C(=C(/[*])c1ccc2c(c1)Cc1ccccc1-2)c1ccccc1,-6.66756154
25,[*]/C(=C(/[*])c1ccc2c(ccc3ccccc32)c1)c1ccc([Si](C)(C)C)cc1,-7.337242168
26,[*]/C(=C(/[*])c1ccc2c(ccc3ccccc32)c1)c1ccccc1,-6.886056648
27,[*]/C(=C(/[*])c1cccc(-c2ccc(C(C)(C)C)cc2)c1)c1ccccc1,-7.709965389
28,[*]/C(=C(/[*])c1cccc(-c2ccccc2)c1)c1ccccc1,-7.744727495
29,[*]/C(=C(/[*])c1cccc([Si](C)(C)C)c1)c1ccccc1,-7.142667504
30,[*]/C(=C(/[*])c1ccccc1F)c1ccc2c(c1)C(C)(C)CC2(C)C,-5.844663963
31,[*]/C(C)=C(/[*])CC(C)C,-7.610833916
32,[*]/C(C)=C(/[*])CCC(C)C,-7.886056648
33,[*]/C(C)=C(/[*])[Si](C)(C)C(C)C,-7.337242168
34,[*]/C(C)=C(/[*])[Si](C)(C)CC,-7.013228266
35,[*]/C(C)=C(/[*])[Si](C)(C)CCC,-8.15490196
36,[*]/C(C)=C(/[*])[Si](C)(C)CCCC,-8.537602002
37,[*]/C(C)=C(/[*])[Si](C)(C)CCCCC,-8.638272164
38,[*]/C(C)=C(/[*])[Si](C)(C)c1ccccc1,-9.356547324
39,[*]/C(C)=C(/[*])c1ccccc1,-8.500312917
40,[*]/C(CC)=C(/[*])c1ccccc1,-8.920818754
41,[*]/C(CCCCCC)=C(/[*])c1ccccc1,-8.853871964
42,[*]/C(Cl)=C(/[*])CCCC,-8.920818754
43,[*]/C(Cl)=C(/[*])CCCCCC,-8.494850022
44,[*]/C(Cl)=C(/[*])c1ccccc1,-9.292429824
45,[*]/C=C(/[*])C(C)(C)C,-7.886056648
46,[*]/C=C(/[*])c1ccc(-c2ccc([Si](C)(C)C)cc2)cc1,-7.408935393
47,[*]/C=C(/[*])c1ccc(C[Si](C)(C)C)cc1,-7.853871964
48,[*]/C=C(/[*])c1ccc(O[Si](C)(C)C(C)(C)C)cc1,-8.769551079
49,[*]/C=C(/[*])c1ccccc1,-8.782516056
50,[*]/C=C(/[*])c1ccccc1C,-9.091514981
51,[*]/C=C(/[*])c1ccccc1C(F)(F)F,-8.602059991
52,[*]=CC1CCC(C=[*])C1,-9.552841969
53,[*]=CCCC(=[*])Cl,-9.397940009
54,[*]=NP(=NP(=[*])(Cl)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1)(Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,-8.958607315
55,[*]=NP(=NP(=[*])(OCC(C)(C)C)Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,-8.982966661
56,[*]=NP(=NP(=[*])(Oc1ccc(OC)cc1)Oc1ccccc1CC=C)(OCCCOCCOC)Oc1ccc(OC)cc1,-9.15490196
57,[*]=NP(=NP(=[*])(Oc1ccccc1)Oc1ccc([Si](C)(C)C)cc1)(Oc1ccc(Br)cc1)Oc1ccc([Si](C)(C)C)cc1,-8.512861625
58,[*]=NP(=NP(=[*])(Oc1ccccc1)Oc1ccc([Si](C)(C)c2ccccc2)cc1)(Oc1ccc(Br)cc1)Oc1ccc([Si](C)(C)c2ccccc2)cc1,-9.107905397
59,[*]=NP(=NP(=[*])(Oc1ccccc1)Oc1ccc([Si](C)(c2ccccc2)c2ccccc2)cc1)(Oc1ccc(Br)cc1)Oc1ccc([Si](C)(c2ccccc2)c2ccccc2)cc1,-9.886056648
60,[*]C(=C([*])c1ccc(C(C)(C)C)cc1)c1ccc(O)cc1,-8.086186148
61,[*]C(=C([*])c1ccc(C(C)(C)C)cc1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,-7.327902142
62,[*]C(=C([*])c1ccc(C(C)(C)C)cc1)c1ccccc1,-7.086186148
63,[*]C(=C([*])c1ccc(C(C)C)cc1)c1ccccc1,-7.522878745
64,[*]C(=C([*])c1ccc(CCCC)cc1)c1ccccc1,-8.431798276
65,[*]C(=C([*])c1ccc([Si](C)(C)C)cc1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,-7.080921908
66,[*]C(=C([*])c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(C(C)(C)C)cc1,-8.585026652
67,[*]C(=C([*])c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(C(C)C)cc1,-8.537602002
68,[*]C(=C([*])c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(CCCC)cc1,-8.602059991
69,[*]C(=C([*])c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccccc1,-8.468521083
70,[*]C(=C([*])c1ccc2c(c1)C(C)(C)c1cc(Br)ccc1-2)c1ccccc1,-6.698970004
71,[*]C(=C([*])c1ccc2c(c1)C(C)(C)c1cc([Si](C)(C)C)ccc1-2)c1ccccc1,-6.26760624
72,[*]C(=C([*])c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1cc(F)cc(F)c1,-6.568636236
73,[*]C(=C([*])c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(Br)cc1,-6.301029996
74,[*]C(=C([*])c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(C(C)(C)C)cc1,-6.455931956
75,[*]C(=C([*])c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(F)c(F)c1,-6.180456064
76,[*]C(=C([*])c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(F)cc1,-6.207608311
77,[*]C(=C([*])c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc([Si](C)(C)C)cc1,-7.327902142
78,[*]C(=C([*])c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1cccc(F)c1,-6.229147988
79,[*]C(=C([*])c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccccc1,-6.318758763
80,[*]C(=C([*])c1ccc2c(c1)C1(CC1)c1ccccc1-2)c1ccc([Si](C)(C)C)cc1,-7
81,[*]C(=C([*])c1ccc2c(c1)C1(CC1)c1ccccc1-2)c1ccccc1,-7.180456064
82,[*]C(=C([*])c1cccc(O)c1)c1ccc(C(C)(C)C)cc1,-7.236572006
83,[*]C(=C([*])c1cccc(O[Si](C)(C)C(C)(C)C)c1)c1ccc(C(C)(C)C)cc1,-6.677780705
84,[*]C(=C([*])c1cccc(O[Si](C)(C)C(C)(C)C)c1)c1ccc([Si](C)(C)C)cc1,-7.091514981
85,[*]C(=C([*])c1ccccc1)c1ccccc1,-6.920818754
86,[*]C(=O)COc1c(Br)cc(C(C)(C)c2cc(Br)c(OC(=O)c3cc([*])cc(C(C)(C)C)c3)c(Br)c2)cc1Br,-9.249491605
87,[*]C(=O)COc1c(Br)cc(C(c2cc(Br)c(OC(=O)c3cc([*])cc(C(C)(C)C)c3)c(Br)c2)(C(F)(F)F)C(F)(F)F)cc1Br,-8.655607726
88,[*]C(=O)COc1c(Br)cc2c(c1Br)C(C)(C)c1cc(Br)c(OC(=O)c3cc([*])cc(C(C)(C)C)c3)c(Br)c1-2,-8.774690718
89,[*]C(=O)Nc1ccc(C2(c3ccc(NC(=O)c4cc([*])cc(C(C)(C)C)c4)cc3)c3ccccc3-c3ccccc32)cc1,-9.096910013
90,[*]C(=O)Nc1ccc(Cc2ccc(NC(=O)c3cc([*])cc(C(C)(C)C)c3)cc2)cc1,-9.935542011
91,[*]C(=O)Oc1c(Br)cc(C(C)(C)c2cc(Br)c(OC(=O)c3cc([*])cc(C(C)(C)C)c3)c(Br)c2)cc1Br,-9.247183569
92,[*]C(=O)Oc1c(Br)cc(C2(c3cc(Br)c(OC(=O)c4cc([*])cc(C(C)(C)C)c4)c(Br)c3)OC(=O)c3ccccc32)cc1Br,-9.130181792
